"value"	"Analysis_type"	"Comparison"
"494"	"Fggy"	"tiling"	"i_vs_rest"
"495"	"Atg4c"	"tiling"	"i_vs_rest"
"496"	"Pgm2"	"tiling"	"i_vs_rest"
"497"	"Ror1"	"tiling"	"i_vs_rest"
"498"	"Raver2"	"tiling"	"i_vs_rest"
"499"	"0610043K17Rik"	"tiling"	"i_vs_rest"
"500"	"Lepr"	"tiling"	"i_vs_rest"
"501"	"Gm12789"	"tiling"	"i_vs_rest"
"502"	"Dab1"	"tiling"	"i_vs_rest"
"503"	"Ssbp3"	"tiling"	"i_vs_rest"
"504"	"Dmrtb1"	"tiling"	"i_vs_rest"
"505"	"Zyg11a"	"tiling"	"i_vs_rest"
"506"	"8030443G20Rik"	"tiling"	"i_vs_rest"
"507"	"Faf1"	"tiling"	"i_vs_rest"
"508"	"Agbl4"	"tiling"	"i_vs_rest"
"509"	"Skint6"	"tiling"	"i_vs_rest"
"510"	"Trabd2b"	"tiling"	"i_vs_rest"
"511"	"Dmbx1"	"tiling"	"i_vs_rest"
"512"	"Rad54l"	"tiling"	"i_vs_rest"
"513"	"Pik3r3"	"tiling"	"i_vs_rest"
"514"	"Cfap57"	"tiling"	"i_vs_rest"
"515"	"Lao1"	"tiling"	"i_vs_rest"
"516"	"Ago4"	"tiling"	"i_vs_rest"
"517"	"Zmym6"	"tiling"	"i_vs_rest"
"518"	"CK137956"	"tiling"	"i_vs_rest"
"519"	"Rbbp4"	"tiling"	"i_vs_rest"
"520"	"Zbtb8b"	"tiling"	"i_vs_rest"
"521"	"Hdac1"	"tiling"	"i_vs_rest"
"522"	"Serinc2"	"tiling"	"i_vs_rest"
"523"	"Pum1"	"tiling"	"i_vs_rest"
"524"	"Ptpru"	"tiling"	"i_vs_rest"
"525"	"Trnau1ap"	"tiling"	"i_vs_rest"
"526"	"Ahdc1"	"tiling"	"i_vs_rest"
"527"	"Maco1"	"tiling"	"i_vs_rest"
"528"	"Syf2"	"tiling"	"i_vs_rest"
"529"	"Zbtb40"	"tiling"	"i_vs_rest"
"530"	"Camk2n1"	"tiling"	"i_vs_rest"
"531"	"Arhgef10l"	"tiling"	"i_vs_rest"
"532"	"Tmem51"	"tiling"	"i_vs_rest"
"533"	"Kazn"	"tiling"	"i_vs_rest"
"534"	"Prdm2"	"tiling"	"i_vs_rest"
"535"	"Pdpn"	"tiling"	"i_vs_rest"
"536"	"Gm13078"	"tiling"	"i_vs_rest"
"537"	"Gm572"	"tiling"	"i_vs_rest"
"538"	"Spsb1"	"tiling"	"i_vs_rest"
"539"	"Rere"	"tiling"	"i_vs_rest"
"540"	"Camta1"	"tiling"	"i_vs_rest"
"541"	"Actrt2"	"tiling"	"i_vs_rest"
"542"	"Tnfrsf14"	"tiling"	"i_vs_rest"
"543"	"Cdk6"	"tiling"	"i_vs_rest"
"544"	"Cdk14"	"tiling"	"i_vs_rest"
"545"	"Cfap69"	"tiling"	"i_vs_rest"
"546"	"Zfp804b"	"tiling"	"i_vs_rest"
"547"	"Grm3"	"tiling"	"i_vs_rest"
"548"	"Gm6455"	"tiling"	"i_vs_rest"
"549"	"Sema3a"	"tiling"	"i_vs_rest"
"550"	"Speer4cos"	"tiling"	"i_vs_rest"
"551"	"Hgf"	"tiling"	"i_vs_rest"
"552"	"Speer4f1"	"tiling"	"i_vs_rest"
"553"	"Magi2"	"tiling"	"i_vs_rest"
"554"	"Napepld"	"tiling"	"i_vs_rest"
"555"	"Lhfpl3"	"tiling"	"i_vs_rest"
"556"	"Asic3"	"tiling"	"i_vs_rest"
"557"	"Asb10"	"tiling"	"i_vs_rest"
"558"	"Gm21671"	"tiling"	"i_vs_rest"
"559"	"Gm10471"	"tiling"	"i_vs_rest"
"560"	"Dpp6"	"tiling"	"i_vs_rest"
"561"	"Hadha"	"tiling"	"i_vs_rest"
"562"	"Emilin1"	"tiling"	"i_vs_rest"
"563"	"Uvssa"	"tiling"	"i_vs_rest"
"564"	"Add1"	"tiling"	"i_vs_rest"
"565"	"Msantd1"	"tiling"	"i_vs_rest"
"566"	"Ppp2r2c"	"tiling"	"i_vs_rest"
"567"	"Crmp1"	"tiling"	"i_vs_rest"
"568"	"Msx1"	"tiling"	"i_vs_rest"
"569"	"Zbtb49"	"tiling"	"i_vs_rest"
"570"	"4930513D17Rik"	"tiling"	"i_vs_rest"
"571"	"Hs3st1"	"tiling"	"i_vs_rest"
"572"	"Rab28"	"tiling"	"i_vs_rest"
"573"	"Gm16223"	"tiling"	"i_vs_rest"
"574"	"Gm7854"	"tiling"	"i_vs_rest"
"575"	"Cpeb2"	"tiling"	"i_vs_rest"
"576"	"Tapt1"	"tiling"	"i_vs_rest"
"577"	"4930405L22Rik"	"tiling"	"i_vs_rest"
"578"	"Kcnip4"	"tiling"	"i_vs_rest"
"579"	"9230114K14Rik"	"tiling"	"i_vs_rest"
"580"	"Ccdc149"	"tiling"	"i_vs_rest"
"581"	"Sel1l3"	"tiling"	"i_vs_rest"
"582"	"Gm10440"	"tiling"	"i_vs_rest"
"583"	"4932441J04Rik"	"tiling"	"i_vs_rest"
"584"	"4930459L07Rik"	"tiling"	"i_vs_rest"
"585"	"4933402J10Rik"	"tiling"	"i_vs_rest"
"586"	"G6pd2"	"tiling"	"i_vs_rest"
"587"	"C030018K13Rik"	"tiling"	"i_vs_rest"
"588"	"Fam114a1"	"tiling"	"i_vs_rest"
"589"	"Klhl5"	"tiling"	"i_vs_rest"
"590"	"Rbm47"	"tiling"	"i_vs_rest"
"591"	"Limch1"	"tiling"	"i_vs_rest"
"592"	"Atp8a1"	"tiling"	"i_vs_rest"
"593"	"Gm5108"	"tiling"	"i_vs_rest"
"594"	"Gnpda2"	"tiling"	"i_vs_rest"
"595"	"Gabrg1"	"tiling"	"i_vs_rest"
"596"	"Gabra4"	"tiling"	"i_vs_rest"
"597"	"Tec"	"tiling"	"i_vs_rest"
"598"	"Fryl"	"tiling"	"i_vs_rest"
"599"	"Gm6116"	"tiling"	"i_vs_rest"
"600"	"Nmu"	"tiling"	"i_vs_rest"
"601"	"C530008M17Rik"	"tiling"	"i_vs_rest"
"602"	"Srp72"	"tiling"	"i_vs_rest"
"603"	"1700017L05Rik"	"tiling"	"i_vs_rest"
"604"	"Adgrl3"	"tiling"	"i_vs_rest"
"605"	"Cenpc1"	"tiling"	"i_vs_rest"
"606"	"Tmprss11d"	"tiling"	"i_vs_rest"
"607"	"Csn1s2a"	"tiling"	"i_vs_rest"
"608"	"Gc"	"tiling"	"i_vs_rest"
"609"	"Shroom3"	"tiling"	"i_vs_rest"
"610"	"Anxa3"	"tiling"	"i_vs_rest"
"611"	"4930467D21Rik"	"tiling"	"i_vs_rest"
"612"	"Antxr2"	"tiling"	"i_vs_rest"
"613"	"Cfap299"	"tiling"	"i_vs_rest"
"614"	"Tmem150c"	"tiling"	"i_vs_rest"
"615"	"2310034O05Rik"	"tiling"	"i_vs_rest"
"616"	"Coq2"	"tiling"	"i_vs_rest"
"617"	"Wdfy3"	"tiling"	"i_vs_rest"
"618"	"Mapk10"	"tiling"	"i_vs_rest"
"619"	"Klhl8"	"tiling"	"i_vs_rest"
"620"	"Zfp326"	"tiling"	"i_vs_rest"
"621"	"Gm32921"	"tiling"	"i_vs_rest"
"622"	"Tgfbr3"	"tiling"	"i_vs_rest"
"623"	"Vmn2r13"	"tiling"	"i_vs_rest"
"624"	"Gm10416"	"tiling"	"i_vs_rest"
"625"	"Lrcol1"	"tiling"	"i_vs_rest"
"626"	"Ttc28"	"tiling"	"i_vs_rest"
"627"	"E130006D01Rik"	"tiling"	"i_vs_rest"
"628"	"Suds3"	"tiling"	"i_vs_rest"
"629"	"Med13l"	"tiling"	"i_vs_rest"
"630"	"Rbm19"	"tiling"	"i_vs_rest"
"631"	"Oas1f"	"tiling"	"i_vs_rest"
"632"	"Pptc7"	"tiling"	"i_vs_rest"
"633"	"Kntc1"	"tiling"	"i_vs_rest"
"634"	"Tmem132b"	"tiling"	"i_vs_rest"
"635"	"Tmem132d"	"tiling"	"i_vs_rest"
"636"	"Galnt17"	"tiling"	"i_vs_rest"
"637"	"Castor2"	"tiling"	"i_vs_rest"
"638"	"Rcc1l"	"tiling"	"i_vs_rest"
"639"	"Col26a1"	"tiling"	"i_vs_rest"
"640"	"4930500L23Rik"	"tiling"	"i_vs_rest"
"641"	"Mad1l1"	"tiling"	"i_vs_rest"
"642"	"Snx8"	"tiling"	"i_vs_rest"
"643"	"Sdk1"	"tiling"	"i_vs_rest"
"644"	"Fbxl18"	"tiling"	"i_vs_rest"
"645"	"Cyp3a57"	"tiling"	"i_vs_rest"
"646"	"Usp12"	"tiling"	"i_vs_rest"
"647"	"Lnx2"	"tiling"	"i_vs_rest"
"648"	"Gsx1"	"tiling"	"i_vs_rest"
"649"	"Fry"	"tiling"	"i_vs_rest"
"650"	"Sgce"	"tiling"	"i_vs_rest"
"651"	"Ppp1r9a"	"tiling"	"i_vs_rest"
"652"	"Glcci1"	"tiling"	"i_vs_rest"
"653"	"AA545190"	"tiling"	"i_vs_rest"
"654"	"Thsd7a"	"tiling"	"i_vs_rest"
"655"	"Tfec"	"tiling"	"i_vs_rest"
"656"	"Ankrd7"	"tiling"	"i_vs_rest"
"657"	"Mir6370"	"tiling"	"i_vs_rest"
"658"	"Tas2r118"	"tiling"	"i_vs_rest"
"659"	"Gpr37"	"tiling"	"i_vs_rest"
"660"	"Gm20756"	"tiling"	"i_vs_rest"
"661"	"Grm8"	"tiling"	"i_vs_rest"
"662"	"Mir129-1"	"tiling"	"i_vs_rest"
"663"	"Strip2"	"tiling"	"i_vs_rest"
"664"	"Podxl"	"tiling"	"i_vs_rest"
"665"	"1700012A03Rik"	"tiling"	"i_vs_rest"
"666"	"Plxna4"	"tiling"	"i_vs_rest"
"667"	"Cald1"	"tiling"	"i_vs_rest"
"668"	"Mtpn"	"tiling"	"i_vs_rest"
"669"	"Dgki"	"tiling"	"i_vs_rest"
"670"	"Creb3l2"	"tiling"	"i_vs_rest"
"671"	"Akr1d1"	"tiling"	"i_vs_rest"
"672"	"Braf"	"tiling"	"i_vs_rest"
"673"	"Tmem178b"	"tiling"	"i_vs_rest"
"674"	"Tcaf2"	"tiling"	"i_vs_rest"
"675"	"Cntnap2"	"tiling"	"i_vs_rest"
"676"	"Fam221a"	"tiling"	"i_vs_rest"
"677"	"Mpp6"	"tiling"	"i_vs_rest"
"678"	"4921507P07Rik"	"tiling"	"i_vs_rest"
"679"	"C530044C16Rik"	"tiling"	"i_vs_rest"
"680"	"Hoxa1"	"tiling"	"i_vs_rest"
"681"	"Hoxa10"	"tiling"	"i_vs_rest"
"682"	"Tax1bp1"	"tiling"	"i_vs_rest"
"683"	"Scrn1"	"tiling"	"i_vs_rest"
"684"	"Nod1"	"tiling"	"i_vs_rest"
"685"	"Mindy4"	"tiling"	"i_vs_rest"
"686"	"Abcg2"	"tiling"	"i_vs_rest"
"687"	"Gprin3"	"tiling"	"i_vs_rest"
"688"	"Grid2"	"tiling"	"i_vs_rest"
"689"	"Smarcad1"	"tiling"	"i_vs_rest"
"690"	"Gm31520"	"tiling"	"i_vs_rest"
"691"	"Mad2l1"	"tiling"	"i_vs_rest"
"692"	"Vmn1r38"	"tiling"	"i_vs_rest"
"693"	"Rprl1"	"tiling"	"i_vs_rest"
"694"	"Rpia"	"tiling"	"i_vs_rest"
"695"	"1700065L07Rik"	"tiling"	"i_vs_rest"
"696"	"Ctnna2"	"tiling"	"i_vs_rest"
"697"	"Gm20594"	"tiling"	"i_vs_rest"
"698"	"Mir7232"	"tiling"	"i_vs_rest"
"699"	"Dysf"	"tiling"	"i_vs_rest"
"700"	"Exoc6b"	"tiling"	"i_vs_rest"
"701"	"Tgfa"	"tiling"	"i_vs_rest"
"702"	"Gmcl1"	"tiling"	"i_vs_rest"
"703"	"Wnt7a"	"tiling"	"i_vs_rest"
"704"	"Slc6a6"	"tiling"	"i_vs_rest"
"705"	"9530026P05Rik"	"tiling"	"i_vs_rest"
"706"	"Magi1"	"tiling"	"i_vs_rest"
"707"	"Suclg2"	"tiling"	"i_vs_rest"
"708"	"Arl6ip5"	"tiling"	"i_vs_rest"
"709"	"Gm765"	"tiling"	"i_vs_rest"
"710"	"Foxp1"	"tiling"	"i_vs_rest"
"711"	"Rybp"	"tiling"	"i_vs_rest"
"712"	"1700049E22Rik"	"tiling"	"i_vs_rest"
"713"	"Ppp4r2"	"tiling"	"i_vs_rest"
"714"	"Gm9871"	"tiling"	"i_vs_rest"
"715"	"Cntn3"	"tiling"	"i_vs_rest"
"716"	"Mir6373"	"tiling"	"i_vs_rest"
"717"	"Cntn6"	"tiling"	"i_vs_rest"
"718"	"Edem1"	"tiling"	"i_vs_rest"
"719"	"Grm7"	"tiling"	"i_vs_rest"
"720"	"Srgap3"	"tiling"	"i_vs_rest"
"721"	"Hrh1"	"tiling"	"i_vs_rest"
"722"	"Rho"	"tiling"	"i_vs_rest"
"723"	"Rasgef1a"	"tiling"	"i_vs_rest"
"724"	"Gm30498"	"tiling"	"i_vs_rest"
"725"	"Bms1"	"tiling"	"i_vs_rest"
"726"	"Erc1"	"tiling"	"i_vs_rest"
"727"	"Kdm5a"	"tiling"	"i_vs_rest"
"728"	"C1rl"	"tiling"	"i_vs_rest"
"729"	"Vwf"	"tiling"	"i_vs_rest"
"730"	"Ntf3"	"tiling"	"i_vs_rest"
"731"	"9330179D12Rik"	"tiling"	"i_vs_rest"
"732"	"9330102E08Rik"	"tiling"	"i_vs_rest"
"733"	"Klra22"	"tiling"	"i_vs_rest"
"734"	"Klra1"	"tiling"	"i_vs_rest"
"735"	"Gm4736"	"tiling"	"i_vs_rest"
"736"	"Tas2r125"	"tiling"	"i_vs_rest"
"737"	"Gm5885"	"tiling"	"i_vs_rest"
"738"	"Ddx47"	"tiling"	"i_vs_rest"
"739"	"Gprc5a"	"tiling"	"i_vs_rest"
"740"	"Emp1"	"tiling"	"i_vs_rest"
"741"	"E330021D16Rik"	"tiling"	"i_vs_rest"
"742"	"Atf7ip"	"tiling"	"i_vs_rest"
"743"	"Plekha5"	"tiling"	"i_vs_rest"
"744"	"Pde3a"	"tiling"	"i_vs_rest"
"745"	"Slco1a6"	"tiling"	"i_vs_rest"
"746"	"Gys2"	"tiling"	"i_vs_rest"
"747"	"Sult6b2"	"tiling"	"i_vs_rest"
"748"	"Lmntd1"	"tiling"	"i_vs_rest"
"749"	"Stk38l"	"tiling"	"i_vs_rest"
"750"	"Tmtc1"	"tiling"	"i_vs_rest"
"751"	"Dennd5b"	"tiling"	"i_vs_rest"
"752"	"Vmn1r57"	"tiling"	"i_vs_rest"
"753"	"2810047C21Rik1"	"tiling"	"i_vs_rest"
"754"	"Vmn2r51"	"tiling"	"i_vs_rest"
"755"	"Vmn1r70"	"tiling"	"i_vs_rest"
"756"	"Vmn1r72"	"tiling"	"i_vs_rest"
"757"	"Zscan18"	"tiling"	"i_vs_rest"
"758"	"Rnf225"	"tiling"	"i_vs_rest"
"759"	"Obox2"	"tiling"	"i_vs_rest"
"760"	"Sae1"	"tiling"	"i_vs_rest"
"761"	"Igfl3"	"tiling"	"i_vs_rest"
"762"	"Ceacam20"	"tiling"	"i_vs_rest"
"763"	"Zfp180"	"tiling"	"i_vs_rest"
"764"	"Irgq"	"tiling"	"i_vs_rest"
"765"	"BC049730"	"tiling"	"i_vs_rest"
"766"	"Scgb1b7"	"tiling"	"i_vs_rest"
"767"	"Scgb2b27"	"tiling"	"i_vs_rest"
"768"	"Zfp536"	"tiling"	"i_vs_rest"
"769"	"Gm28453"	"tiling"	"i_vs_rest"
"770"	"Zfp939"	"tiling"	"i_vs_rest"
"771"	"Zfp619"	"tiling"	"i_vs_rest"
"772"	"4933402C06Rik"	"tiling"	"i_vs_rest"
"773"	"Lrrc4b"	"tiling"	"i_vs_rest"
"774"	"Abcc8"	"tiling"	"i_vs_rest"
"775"	"Nav2"	"tiling"	"i_vs_rest"
"776"	"Oca2"	"tiling"	"i_vs_rest"
"777"	"Chrna7"	"tiling"	"i_vs_rest"
"778"	"Tjp1"	"tiling"	"i_vs_rest"
"779"	"Cers3"	"tiling"	"i_vs_rest"
"780"	"4833412C05Rik"	"tiling"	"i_vs_rest"
"781"	"Igf1r"	"tiling"	"i_vs_rest"
"782"	"B130024G19Rik"	"tiling"	"i_vs_rest"
"783"	"Gm4971"	"tiling"	"i_vs_rest"
"784"	"Slco3a1"	"tiling"	"i_vs_rest"
"785"	"4930533N22Rik"	"tiling"	"i_vs_rest"
"786"	"Klhl25"	"tiling"	"i_vs_rest"
"787"	"Agbl1"	"tiling"	"i_vs_rest"
"788"	"Abhd2"	"tiling"	"i_vs_rest"
"789"	"Rhcg"	"tiling"	"i_vs_rest"
"790"	"Anpep"	"tiling"	"i_vs_rest"
"791"	"Cib1"	"tiling"	"i_vs_rest"
"792"	"Cpeb1"	"tiling"	"i_vs_rest"
"793"	"Ap3b2"	"tiling"	"i_vs_rest"
"794"	"A530021J07Rik"	"tiling"	"i_vs_rest"
"795"	"Gm2115"	"tiling"	"i_vs_rest"
"796"	"Grm5"	"tiling"	"i_vs_rest"
"797"	"Fzd4"	"tiling"	"i_vs_rest"
"798"	"Dlg2"	"tiling"	"i_vs_rest"
"799"	"Tenm4"	"tiling"	"i_vs_rest"
"800"	"Alg8"	"tiling"	"i_vs_rest"
"801"	"Uvrag"	"tiling"	"i_vs_rest"
"802"	"Serpinh1"	"tiling"	"i_vs_rest"
"803"	"Stard10"	"tiling"	"i_vs_rest"
"804"	"Olfr566"	"tiling"	"i_vs_rest"
"805"	"Olfr490"	"tiling"	"i_vs_rest"
"806"	"St5"	"tiling"	"i_vs_rest"
"807"	"Cyp2r1"	"tiling"	"i_vs_rest"
"808"	"Xylt1"	"tiling"	"i_vs_rest"
"809"	"Vps35l"	"tiling"	"i_vs_rest"
"810"	"Otoa"	"tiling"	"i_vs_rest"
"811"	"Prkcb"	"tiling"	"i_vs_rest"
"812"	"Cacng3"	"tiling"	"i_vs_rest"
"813"	"4930413G21Rik"	"tiling"	"i_vs_rest"
"814"	"Hs3st4"	"tiling"	"i_vs_rest"
"815"	"D430042O09Rik"	"tiling"	"i_vs_rest"
"816"	"Cln3"	"tiling"	"i_vs_rest"
"817"	"Fgfr2"	"tiling"	"i_vs_rest"
"818"	"Cpxm2"	"tiling"	"i_vs_rest"
"819"	"Lhpp"	"tiling"	"i_vs_rest"
"820"	"Zranb1"	"tiling"	"i_vs_rest"
"821"	"C030029H02Rik"	"tiling"	"i_vs_rest"
"822"	"Tcerg1l"	"tiling"	"i_vs_rest"
"823"	"Ppp2r2d"	"tiling"	"i_vs_rest"
"824"	"Inpp5a"	"tiling"	"i_vs_rest"
"825"	"Shank2"	"tiling"	"i_vs_rest"
"826"	"Cd209f"	"tiling"	"i_vs_rest"
"827"	"Zfp958"	"tiling"	"i_vs_rest"
"828"	"Shcbp1"	"tiling"	"i_vs_rest"
"829"	"Slc10a2"	"tiling"	"i_vs_rest"
"830"	"Efnb2"	"tiling"	"i_vs_rest"
"831"	"9530052E02Rik"	"tiling"	"i_vs_rest"
"832"	"Tex29"	"tiling"	"i_vs_rest"
"833"	"Cfap97d2"	"tiling"	"i_vs_rest"
"834"	"Mcph1"	"tiling"	"i_vs_rest"
"835"	"Gm14851"	"tiling"	"i_vs_rest"
"836"	"Defa30"	"tiling"	"i_vs_rest"
"837"	"Plekha2"	"tiling"	"i_vs_rest"
"838"	"Nsd3"	"tiling"	"i_vs_rest"
"839"	"Adrb3"	"tiling"	"i_vs_rest"
"840"	"Unc5d"	"tiling"	"i_vs_rest"
"841"	"Dusp26"	"tiling"	"i_vs_rest"
"842"	"Ppp1r3b"	"tiling"	"i_vs_rest"
"843"	"Mfhas1"	"tiling"	"i_vs_rest"
"844"	"Cldn23"	"tiling"	"i_vs_rest"
"845"	"Msr1"	"tiling"	"i_vs_rest"
"846"	"Adam25"	"tiling"	"i_vs_rest"
"847"	"Mtus1"	"tiling"	"i_vs_rest"
"848"	"2810404M03Rik"	"tiling"	"i_vs_rest"
"849"	"Triml1"	"tiling"	"i_vs_rest"
"850"	"Fat1"	"tiling"	"i_vs_rest"
"851"	"Sorbs2"	"tiling"	"i_vs_rest"
"852"	"Sorbs2os"	"tiling"	"i_vs_rest"
"853"	"Tenm3"	"tiling"	"i_vs_rest"
"854"	"Gm2516"	"tiling"	"i_vs_rest"
"855"	"1190028D05Rik"	"tiling"	"i_vs_rest"
"856"	"AV026068"	"tiling"	"i_vs_rest"
"857"	"Galntl6"	"tiling"	"i_vs_rest"
"858"	"BC030500"	"tiling"	"i_vs_rest"
"859"	"4930470O06Rik"	"tiling"	"i_vs_rest"
"860"	"Nek1"	"tiling"	"i_vs_rest"
"861"	"BC030870"	"tiling"	"i_vs_rest"
"862"	"Nat1"	"tiling"	"i_vs_rest"
"863"	"Psd3"	"tiling"	"i_vs_rest"
"864"	"Gm10033"	"tiling"	"i_vs_rest"
"865"	"Isx"	"tiling"	"i_vs_rest"
"866"	"Gm10649"	"tiling"	"i_vs_rest"
"867"	"Zswim4"	"tiling"	"i_vs_rest"
"868"	"Mir8110"	"tiling"	"i_vs_rest"
"869"	"Tox3"	"tiling"	"i_vs_rest"
"870"	"Chd9"	"tiling"	"i_vs_rest"
"871"	"Fto"	"tiling"	"i_vs_rest"
"872"	"Crnde"	"tiling"	"i_vs_rest"
"873"	"Mmp2"	"tiling"	"i_vs_rest"
"874"	"Dok4"	"tiling"	"i_vs_rest"
"875"	"Gins3"	"tiling"	"i_vs_rest"
"876"	"4930513N10Rik"	"tiling"	"i_vs_rest"
"877"	"Got2"	"tiling"	"i_vs_rest"
"878"	"A330008L17Rik"	"tiling"	"i_vs_rest"
"879"	"Cdh11"	"tiling"	"i_vs_rest"
"880"	"Ces2b"	"tiling"	"i_vs_rest"
"881"	"Ces4a"	"tiling"	"i_vs_rest"
"882"	"Agrp"	"tiling"	"i_vs_rest"
"883"	"Psmd7"	"tiling"	"i_vs_rest"
"884"	"Lncbate1"	"tiling"	"i_vs_rest"
"885"	"Hydin"	"tiling"	"i_vs_rest"
"886"	"Glg1"	"tiling"	"i_vs_rest"
"887"	"Fa2h"	"tiling"	"i_vs_rest"
"888"	"Terf2ip"	"tiling"	"i_vs_rest"
"889"	"Wwox"	"tiling"	"i_vs_rest"
"890"	"Maf"	"tiling"	"i_vs_rest"
"891"	"Cdyl2"	"tiling"	"i_vs_rest"
"892"	"Hsd17b2"	"tiling"	"i_vs_rest"
"893"	"Cdh13"	"tiling"	"i_vs_rest"
"894"	"Foxl1"	"tiling"	"i_vs_rest"
"895"	"Acsf3"	"tiling"	"i_vs_rest"
"896"	"Pgbd5"	"tiling"	"i_vs_rest"
"897"	"Disc1"	"tiling"	"i_vs_rest"
"898"	"Slc35f3"	"tiling"	"i_vs_rest"
"899"	"Pard3"	"tiling"	"i_vs_rest"
"900"	"Gria4"	"tiling"	"i_vs_rest"
"901"	"Pdgfd"	"tiling"	"i_vs_rest"
"902"	"Gm16833"	"tiling"	"i_vs_rest"
"903"	"Cntn5"	"tiling"	"i_vs_rest"
"904"	"4930568E12Rik"	"tiling"	"i_vs_rest"
"905"	"Cep295"	"tiling"	"i_vs_rest"
"906"	"Fat3"	"tiling"	"i_vs_rest"
"907"	"Naalad2"	"tiling"	"i_vs_rest"
"908"	"Col5a3"	"tiling"	"i_vs_rest"
"909"	"Rab3d"	"tiling"	"i_vs_rest"
"910"	"Npsr1"	"tiling"	"i_vs_rest"
"911"	"Eepd1"	"tiling"	"i_vs_rest"
"912"	"B3gat1"	"tiling"	"i_vs_rest"
"913"	"Spata19"	"tiling"	"i_vs_rest"
"914"	"Ntm"	"tiling"	"i_vs_rest"
"915"	"Barx2"	"tiling"	"i_vs_rest"
"916"	"7630403G23Rik"	"tiling"	"i_vs_rest"
"917"	"Kirrel3"	"tiling"	"i_vs_rest"
"918"	"4933422A05Rik"	"tiling"	"i_vs_rest"
"919"	"Cdon"	"tiling"	"i_vs_rest"
"920"	"Stt3a"	"tiling"	"i_vs_rest"
"921"	"Ccdc15"	"tiling"	"i_vs_rest"
"922"	"Clmp"	"tiling"	"i_vs_rest"
"923"	"Dscaml1"	"tiling"	"i_vs_rest"
"924"	"Gm4791"	"tiling"	"i_vs_rest"
"925"	"Cadm1"	"tiling"	"i_vs_rest"
"926"	"Ttc12"	"tiling"	"i_vs_rest"
"927"	"Ncam1"	"tiling"	"i_vs_rest"
"928"	"Layn"	"tiling"	"i_vs_rest"
"929"	"Zc3h12c"	"tiling"	"i_vs_rest"
"930"	"Ddx10"	"tiling"	"i_vs_rest"
"931"	"Cyp19a1"	"tiling"	"i_vs_rest"
"932"	"Lingo1"	"tiling"	"i_vs_rest"
"933"	"Scamp5"	"tiling"	"i_vs_rest"
"934"	"Cyp11a1"	"tiling"	"i_vs_rest"
"935"	"Gm5122"	"tiling"	"i_vs_rest"
"936"	"Pias1"	"tiling"	"i_vs_rest"
"937"	"Igdcc3"	"tiling"	"i_vs_rest"
"938"	"Gm19299"	"tiling"	"i_vs_rest"
"939"	"Tln2"	"tiling"	"i_vs_rest"
"940"	"4930502A04Rik"	"tiling"	"i_vs_rest"
"941"	"Myzap"	"tiling"	"i_vs_rest"
"942"	"Rsl24d1"	"tiling"	"i_vs_rest"
"943"	"Gm16551"	"tiling"	"i_vs_rest"
"944"	"Mlip"	"tiling"	"i_vs_rest"
"945"	"Klhl31"	"tiling"	"i_vs_rest"
"946"	"Fbxo9"	"tiling"	"i_vs_rest"
"947"	"Impg1"	"tiling"	"i_vs_rest"
"948"	"Htr1b"	"tiling"	"i_vs_rest"
"949"	"Hmgn3"	"tiling"	"i_vs_rest"
"950"	"Ube2cbp"	"tiling"	"i_vs_rest"
"951"	"Dop1a"	"tiling"	"i_vs_rest"
"952"	"Morf4l1"	"tiling"	"i_vs_rest"
"953"	"Plscr5"	"tiling"	"i_vs_rest"
"954"	"1700057G04Rik"	"tiling"	"i_vs_rest"
"955"	"1190002N15Rik"	"tiling"	"i_vs_rest"
"956"	"Gk5"	"tiling"	"i_vs_rest"
"957"	"C430002N11Rik"	"tiling"	"i_vs_rest"
"958"	"Slc25a36"	"tiling"	"i_vs_rest"
"959"	"Trim42"	"tiling"	"i_vs_rest"
"960"	"Esyt3"	"tiling"	"i_vs_rest"
"961"	"Nck1"	"tiling"	"i_vs_rest"
"962"	"Ppp2r3a"	"tiling"	"i_vs_rest"
"963"	"Gm28979"	"tiling"	"i_vs_rest"
"964"	"Nphp3"	"tiling"	"i_vs_rest"
"965"	"Ip6k1"	"tiling"	"i_vs_rest"
"966"	"Fbxw19"	"tiling"	"i_vs_rest"
"967"	"Map4"	"tiling"	"i_vs_rest"
"968"	"Smarcc1"	"tiling"	"i_vs_rest"
"969"	"Pth1r"	"tiling"	"i_vs_rest"
"970"	"Dclk3"	"tiling"	"i_vs_rest"
"971"	"2900079G21Rik"	"tiling"	"i_vs_rest"
"972"	"AU023762"	"tiling"	"i_vs_rest"
"973"	"Susd5"	"tiling"	"i_vs_rest"
"974"	"Cmtm8"	"tiling"	"i_vs_rest"
"975"	"Gadl1"	"tiling"	"i_vs_rest"
"976"	"Gm4668"	"tiling"	"i_vs_rest"
"977"	"9530059O14Rik"	"tiling"	"i_vs_rest"
"978"	"Rgs17"	"tiling"	"i_vs_rest"
"979"	"Ulbp1"	"tiling"	"i_vs_rest"
"980"	"Sash1"	"tiling"	"i_vs_rest"
"981"	"Stxbp5"	"tiling"	"i_vs_rest"
"982"	"Adgb"	"tiling"	"i_vs_rest"
"983"	"Grm1"	"tiling"	"i_vs_rest"
"984"	"Utrn"	"tiling"	"i_vs_rest"
"985"	"Zc2hc1b"	"tiling"	"i_vs_rest"
"986"	"Nmbr"	"tiling"	"i_vs_rest"
